Create(Y),Label,Milestone,Severity,Title,Body
Y,enhancement,1.0.0 배포 준비,중간,로그인 비밀번호 필드에 autocomplete/label/id 추가,"**Severity:** 중간

**Problem:** 비밀번호 필드에 name/autocomplete=""current-password""/<label>/id가 전부 없어 비밀번호 매니저가 자격증명을 저장·자동입력하지 못하고, 접근성 레이블이 없어 스크린리더가 필드를 읽지 못함.

**Fix:** <input name=""password"" autocomplete=""current-password"" id=""password""> + 숨김 username 필드 + <label> 추가.

**Evidence:** Login.razor:13-19"
Y,bug,1.0.0 배포 준비,높음,SubNoteDialog에 beforeunload 가드 + draft 백업 이식 (편집분 소실),"**Severity:** 높음

**Problem:** SubNoteDialog(하위 노트 인라인 편집)에는 beforeunload 가드도 DraftStore도 없음. 409 충돌 시 안내만 뜨고 DisposeAsync가 다시 SaveCoreAsync를 호출해 또 409 → 편집분 소실. 1.5초 디바운스 창 안에서 닫아도 소실. 풀페이지 에디터와 달리 다이얼로그는 데이터 손실을 막지 못함.

**Fix:** 다이얼로그에도 동일한 beforeunload + draft 스택 적용, 또는 닫기 전 강제 flush.

**Evidence:** SubNoteDialog.razor:244-248, 330-331"
,bug,1.0.0 배포 준비,중간,자동저장 실패를 스낵바로 승격 (현재 작은 라벨만),"**Severity:** 중간

**Problem:** 자동저장 실패가 작은 'Save failed' 라벨로만 표시되고 수동저장과 달리 스낵바가 없음. 일시적 5xx나 리다이렉트 직전 401 상황에서 저장이 안 되는 걸 사용자가 인지하기 어려움. draft 백업이 손실은 막지만 인지 실패는 못 막음.

**Fix:** 자동저장 실패도 수동저장과 동일하게 스낵바로 승격.

**Evidence:** NoteEditor.razor DoAutoSave:566-571, 623"
,bug,1.0.0 배포 준비,중간,새 노트 라벨 저장 결과 확인 (AddLabelToNoteAsync 결과 무시),"**Severity:** 중간

**Problem:** 새 노트에 붙인 라벨을 AddLabelToNoteAsync 결과를 무시하고 저장. 라벨 POST 실패 시 UI엔 라벨이 보이는데 실제로는 저장 안 됨 → '라벨이 사라졌다'.

**Fix:** 결과 확인 후 실패 시 토스트 + UI 롤백.

**Evidence:** NoteEditor.razor:575-576, 640-641"
,bug,1.0.0 배포 준비,낮음,저장 전 제목 trim + 빈 제목 fallback,"**Severity:** 낮음

**Problem:** 빈/공백 제목이 정규화되지 않음. Board.razor:334는 trim하는데 에디터는 안 함 → 목록에 공백 제목 노트가 남는 일관성 결함.

**Fix:** 저장 전 Trim() + 빈 제목 fallback('Untitled').

**Evidence:** NoteEditor.razor SaveOnceAsync:522-529"
Y,enhancement,1.0.0 배포 준비,높음,홈 체크박스에 '선택 삭제' 액션바 추가 (일괄 삭제 미노출),"**Severity:** 높음

**Problem:** 일괄 삭제 트리거가 물리 Delete 키밖에 없음. 행별 체크박스와 전체선택은 렌더되는데 '선택 삭제' 버튼/액션바가 없어 사용자는 기능이 고장난 것처럼 느낌. Delete 키를 눌러야 한다는 걸 알 방법이 없음.

**Fix:** 체크된 항목이 있으면 나타나는 액션바('N개 삭제') 추가.

**Evidence:** Home.razor:70-91, 269, 424"
,enhancement,1.0.0 배포 준비,중간,계층 재귀 확장 또는 트리 사이드바,"**Severity:** 중간

**Problem:** 계층이 한 단계만 인라인 확장. 손자 노트는 +N 뱃지로만 표시되고 인라인 확장 불가, 전체 트리뷰 없음. '개발자용 계층 노트'라는 핵심 가치가 얕게 구현됨.

**Fix:** 재귀 확장 또는 별도 트리 사이드바.

**Evidence:** Home.razor:187-190"
,bug,1.0.0 배포 준비,중간,보드 추가 노트 라벨 결과 확인,"**Severity:** 중간

**Problem:** 보드 추가노트도 라벨 결과를 무시. 라벨 실패 시 노트가 어느 컬럼에도 안 들어가고 사라진 것처럼 보임.

**Fix:** 라벨 POST 결과 확인 후 실패 처리.

**Evidence:** Board.razor ConfirmAddNote:338"
,enhancement,1.0.0 배포 준비,낮음,보드 카테고리 요약 로드 상한/가상 스크롤,"**Severity:** 낮음

**Problem:** 보드는 카테고리 전체 요약을 페이지네이션 없이 로드. 개인용이라 당장은 무방하나 노트가 쌓이면 무한정 커짐.

**Fix:** 상한 또는 가상 스크롤 도입.

**Evidence:** Board.razor:197"
,enhancement,1.0.0 배포 준비,중간,퀵 네비게이션 포커스 트랩 + listbox ARIA 추가,"**Severity:** 중간

**Problem:** role=""dialog"" aria-modal은 선언했으나 focusTrap 미적용 → Tab이 뒤 페이지로 샘. 결과 목록에 role=""listbox/option""/aria-activedescendant가 없어 화살표 선택이 스크린리더에 안 보임. 키보드 우선 워크플로우가 핵심인데 정작 팔레트의 키보드 접근성이 샘.

**Fix:** Board의 focus-trap.js 재사용 + listbox ARIA 적용.

**Evidence:** QuickNavDialog.razor:11-16"
